Timestamp,Symbol,Action,Open/Close/Add,Cost basis,Quantity,PnL
2023-07-06 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2749,15,
2023-07-06 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2749,0.0,-84.375
2023-07-07 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2784,10,
2023-07-07 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2784,0.0,350.0
2023-07-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3087,5,
2023-07-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3087,0.0,153.125
2023-07-26 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2912,15,
2023-07-26 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2912,0.0,328.12500000001455
2023-07-28 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2872,15,
2023-07-28 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2872,0.0,-168.74999999998545
2023-08-07 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2776,15,
2023-08-07 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2776,0.0,65.6249999999709
2023-08-10 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2784,8,
2023-08-10 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2784,0.0,-525.0
2023-08-17 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2773,15,
2023-08-17 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2773,0.0,-225.00000000001455
2023-08-21 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2755,15,
2023-08-21 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2755,0.0,37.5
2023-08-30 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2715,5,
2023-08-30 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2715,0.0,15.625
2023-09-01 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2694,15,
2023-09-01 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2694,0.0,-975.0000000000146
2023-09-29 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2264,12,
2023-09-29 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2264,0.0,-487.5
2023-10-04 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2174,9,
2023-10-04 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2174,0.0,-174.375
2023-10-11 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2317,11,
2023-10-11 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2317,0.0,-6.875
2023-10-31 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2162,15,
2023-10-31 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2162,0.0,-65.6249999999709
2023-11-02 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2218,12,
2023-11-02 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2218,0.0,-97.5
2023-11-17 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2432,15,
2023-11-17 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2432,0.0,281.24999999998545
2023-11-23 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2544,15,
2023-11-23 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2544,0.0,-74.99999999998545
2023-11-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2576,14,
2023-11-27 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2576,0.0,481.25
2023-11-28 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2619,15,
2023-11-28 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2619,0.0,721.875
2023-12-14 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2717,5,
2023-12-14 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2717,0.0,171.87499999999272
2023-12-22 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2725,15,
2023-12-22 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2725,0.0,-150.0
2024-01-22 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.273,15,
2024-01-22 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.273,0.0,-159.37499999998545
2024-01-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2743,15,
2024-01-24 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2743,0.0,-215.62499999998545
2024-01-26 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2733,15,
2024-01-26 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2733,0.0,-262.50000000001455
2024-02-12 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2618,15,
2024-02-12 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2618,0.0,131.25
2024-02-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2679,9,
2024-02-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2679,0.0,-489.375
2024-02-23 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2701,11,
2024-02-23 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2701,0.0,-206.25000000001455
2024-02-26 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2686,15,
2024-02-26 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2686,0.0,9.375
2024-03-07 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2752,15,
2024-03-07 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2752,0.0,543.75
2024-03-08 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.284,6,
2024-03-08 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.284,0.0,44.999999999992724
2024-03-28 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2645,15,
2024-03-28 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2645,0.0,-84.375
2024-04-09 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2702,5,
2024-04-09 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2702,0.0,-56.25
2024-04-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2444,15,
2024-04-24 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2444,0.0,234.37499999998545
2024-05-03 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2609,5,
2024-05-03 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2609,0.0,-171.87499999999272
2024-05-06 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2595,12,
2024-05-06 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2595,0.0,-195.0
2024-05-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2559,10,
2024-05-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2559,0.0,12.5
2024-05-15 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2647,7,
2024-05-15 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2647,0.0,175.0
2024-05-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2723,15,
2024-05-24 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2723,0.0,187.50000000001455
2024-05-27 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2759,13,
2024-05-27 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2759,0.0,89.375
2024-05-28 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2794,10,
2024-05-28 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2794,0.0,-181.25
2024-05-31 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2748,15,
2024-05-31 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2748,0.0,-56.25
2024-06-05 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2794,15,
2024-06-05 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2794,0.0,-46.875000000029104
2024-06-12 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2854,5,
